,title,pitchfork,bnm,year,artist,genre,fantano,_merge
1363,a new place 2 drown,8.6,1.0,2015.0,archy marshall,rock,4.0,both
1364,a new place 2 drown,8.6,1.0,2015.0,archy marshall,electronic,4.0,both
1365,lil me,7.6,0.0,2015.0,wiki,rap,7.0,both
1369,purple,8.5,1.0,2015.0,baroness,metal,8.0,both
1373,when it's dark out,6.7,0.0,2015.0,g-eazy,rap,4.0,both
1386,a head full of dreams,4.8,0.0,2015.0,coldplay,rock,5.0,both
1396,product,6.6,0.0,2015.0,sophie,electronic,8.0,both
1400,but you caint use my phone,8.1,0.0,2015.0,erykah badu,pop/r&b,6.0,both
1421,25,7.3,0.0,2015.0,adele,pop/r&b,7.0,both
1427,shadow of a doubt,7.8,0.0,2015.0,freddie gibbs,rap,7.0,both
1435,time & materials,7.2,0.0,2015.0,cavanaugh,rap,6.0,both
1436,mutant,8.4,1.0,2015.0,arca,experimental,6.0,both
1438,the incredible true story,6.1,0.0,2015.0,logic,rap,6.0,both
1441,purpose,6.2,0.0,2015.0,justin bieber,pop/r&b,5.0,both
1443,the miraculous,7.8,0.0,2015.0,anna von hausswolff,experimental,6.0,both
1446,free tc,7.7,0.0,2015.0,ty dolla $ign,rap,6.0,both
1448,skid row,6.6,0.0,2015.0,james ferraro,electronic,4.0,both
1465,art angels,8.5,1.0,2015.0,grimes,pop/r&b,7.0,both
1481,late knight special,6.4,0.0,2015.0,kirk knight,rap,5.0,both
1482,dealer,7.6,0.0,2015.0,foxing,rock,3.0,both
1484,the things we do to find people who feel like us,8.0,0.0,2015.0,beach slang,rock,7.0,both
1503,teens of style,8.1,0.0,2015.0,car seat headrest,rock,7.0,both
1539,autumn eternal,7.5,0.0,2015.0,panopticon,metal,8.0,both
1540,divers,8.5,1.0,2015.0,joanna newsom,folk/country,8.0,both
1545,thank your lucky stars,8.1,0.0,2015.0,beach house,rock,5.0,both
1547,all we need,6.8,0.0,2015.0,raury,rap,5.0,both
1554,vega intl. night school,8.6,1.0,2015.0,neon indian,electronic,7.0,both
1556,so the flies don't come,7.4,0.0,2015.0,milo,rap,8.0,both
1564,fading frontier,8.4,1.0,2015.0,deerhunter,rock,6.0,both
1566,exhausting fire,7.4,0.0,2015.0,kylesa,metal,7.0,both
1575,go:od am,7.3,0.0,2015.0,mac miller,rap,7.0,both
1576,beach music,7.2,0.0,2015.0,alex g,rock,6.0,both
1580,the agent intellect,8.2,0.0,2015.0,protomartyr,rock,7.0,both
1589,v,6.5,0.0,2015.0,wavves,rock,4.0,both
1595,la di da di,7.5,0.0,2015.0,battles,rock,6.0,both
1598,new bermuda,9.0,1.0,2015.0,deafheaven,metal,6.0,both
1601,90059,8.0,0.0,2015.0,jay rock,rap,6.0,both
1603,fetty wap,7.6,0.0,2015.0,fetty wap,rap,5.0,both
1613,every open eye,7.7,0.0,2015.0,chvrches,pop/r&b,5.0,both
1615,harmlessness,7.9,0.0,2015.0,the world is a beautiful place & i am no longer afraid to die,rock,7.0,both
1618,caracal,6.6,0.0,2015.0,disclosure,electronic,6.0,both
1620,evermore: the art of duality,7.5,0.0,2015.0,the underachievers,rap,8.0,both
1635,music complete,7.2,0.0,2015.0,new order,rock,6.0,both
1639,honeymoon,7.5,0.0,2015.0,lana del rey,pop/r&b,5.0,both
1644,have you in my wilderness,8.4,1.0,2015.0,julia holter,electronic,9.0,both
1651,kunk,7.0,0.0,2015.0,dope body,rock,7.0,both
1653,rodeo,6.0,0.0,2015.0,travis scott,rap,8.0,both
1661,sun coming down,8.0,0.0,2015.0,ought,rock,8.0,both
1675,too,5.8,0.0,2015.0,fidlar,rock,4.0,both
1692,anthems for doomed youth,7.7,0.0,2015.0,the libertines,rock,6.0,both
1696,miley cyrus and her dead petz,3.0,0.0,2015.0,miley cyrus,pop/r&b,1.0,both
1701,poison season,7.6,0.0,2015.0,destroyer,rock,8.0,both
1706,beauty behind the madness,7.2,0.0,2015.0,the weeknd,pop/r&b,5.0,both
1707,what went down,6.7,0.0,2015.0,foals,rock,5.0,both
1720,m,7.9,0.0,2015.0,myrkur,metal,6.0,both
1721,wave[s],7.6,0.0,2015.0,mick jenkins,rap,6.0,both
1722,meliora,6.2,0.0,2015.0,ghost,,9.0,both
1726,the expanding flower planet,8.0,0.0,2015.0,deradoorian,rock,6.0,both
1730,m3ll155x,8.6,1.0,2015.0,fka twigs,pop/r&b,9.0,both
1731,m3ll155x,8.6,1.0,2015.0,fka twigs,electronic,9.0,both
1736,depression cherry,8.4,1.0,2015.0,beach house,rock,6.0,both
1742,emotion,7.4,0.0,2015.0,carly rae jepsen,pop/r&b,7.0,both
1764,compton,8.8,1.0,2015.0,dr. dre,rap,7.0,both
1774,abyss,8.1,0.0,2015.0,chelsea wolfe,rock,8.0,both
1780,ygg huur,8.2,0.0,2015.0,krallice,metal,6.0,both
1789,another one,7.3,0.0,2015.0,mac demarco,rock,7.0,both
1791,holographic violence,6.4,0.0,2015.0,grave babies,rock,6.0,both
1794,death magic,7.8,0.0,2015.0,health,rock,5.0,both
1813,blood,7.7,0.0,2015.0,lianne la havas,pop/r&b,8.0,both
1816,the most lamentable tragedy,8.1,0.0,2015.0,titus andronicus,rock,4.0,both
1826,star wars,7.7,0.0,2015.0,wilco,rock,6.0,both
1847,magnifique,5.0,0.0,2015.0,ratatat,electronic,7.0,both
1852,born in the echoes,7.8,0.0,2015.0,the chemical brothers,electronic,7.0,both
1862,innocent country,6.9,0.0,2015.0,quelle chris,rap,7.0,both
1864,currents,9.3,1.0,2015.0,tame impala,rock,7.0,both
1870,key markets,7.5,0.0,2015.0,sleaford mods,rock,8.0,both
